"","Clustering","K","Avg. Sil.","Neg.Sil.","CH","Dunn*","VI","ARI","Chi","P-value"
"1","db.2.e.1","2","0.278814904622963","0.210526315789474","9.64738044955453","1.39714098818942","0.363187739714117","0.407822605481983","0.275625","0.0157378740970072"
"2","db.3a.e.1","3","0.46863232265919","0","13.2094053335522","1.76807960476132","0.7626372355379","-0.0450919181408256",NA,NA
"3","db.3b.e.1","3","0.46863232265919","0","13.2094053335522","1.76807960476132","0.804487525123723","-0.0187252430680591","0.311111111111111","0.357142857142856"
"4","db.5.e.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","db.2.e.2","2","0.426175057026415","0","7.44300501520591","1.75506622480488","0.693393805084735","-0.0769403104496719","0","1"
"6","db.3a.e.2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","db.3b.e.2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","db.5.e.2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","db.2.e.3","2","0.276671313818363","0","5.40194495779845","1.39926314988375","0.344733315847009","0.299669613358336","0.620752984389348","0.00274725274725275"
"10","db.3a.e.3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","db.3b.e.3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","db.5.e.3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","db.2.e.4","2","0.463448194163602","0","8.04647193958648","1.7507763292455","0.643724398903153","0.0526164186269804","0.125","0.4"
"14","db.3a.e.4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","db.3b.e.4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","db.5.e.4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","db.2.e.5","2","0.212785135003459","0.105263157894737","6.43101364182902","1.38345718538493","0.406463486066302","0.0318675114484662","0.0294471153846154","0.2218782249742"
"18","db.3a.e.5","3","0.231206773421829","0.0526315789473684","7.4785302595768","1.30517569417034","0.527232648702525","0.0903045152257613","0.238383838383838","0.0722621032218551"
"19","db.3b.e.5","3","0.231206773421829","0.0526315789473684","7.4785302595768","1.30517569417034","0.629508429741381","-0.0166225916131469","0.0962350780532599","0.688914027149317"
"20","db.5.e.5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","db.2.e.6","2","0.477398105429764","0","28.6773669648663","1.95724037838958","0.427198216657833","0.105480259281084","0.200039682539682","0.0325077399380805"
"22","db.3a.e.6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","db.3b.e.6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","db.5.e.6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","db.2.r.1","2","0.383865221365804","0","6.6131601764867","1.62458862455514","0.670728320263673","0.182173147703633","0","1"
"26","db.3a.r.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","db.3b.r.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","db.5.r.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","db.2.r.2","2","0.546335785592302","0","12.7021533068068","1.98511541608773","0.492426514982498","0.408897423587774","0.125","0.4"
"30","db.3a.r.2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","db.3b.r.2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","db.5.r.2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","db.2.r.3","2","0.409660375330903","0","19.3857122959857","1.88326474640509","0.156316418707367","0.711267388421085","0.751111111111111","6.44994840041281e-05"
"34","db.3a.r.3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","db.3b.r.3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","db.5.r.3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","db.2.r.4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","db.3a.r.4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","db.3b.r.4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","db.5.r.4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","db.2.r.5","2","0.512929670387773","0","18.1680680231448","2.05539474943636","0.530135274491083","0.150395778364116","0.210069444444444","0.0761904761904761"
"42","db.3a.r.5","3","0.383375806684117","0.0714285714285714","12.0851345640579","1.54347050317563","0.606751075390706","0.0625439212930429","0.37037037037037","0.012987012987013"
"43","db.3b.r.5","3","0.383375806684117","0.0714285714285714","12.0851345640579","1.54347050317563","0.644465566891184","0.0416666666666667","0.4375","0.0161838161838162"
"44","db.5.r.5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","db.2.r.6","2","0.461200242288655","0","9.48748898062163","1.81587746808831","0.380132120663849","0.555611316730444","0.16875","0.142857142857143"
"46","db.3a.r.6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","db.3b.r.6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","db.5.r.6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","db.2.p.1","2","0.463941945011748","0.0526315789473684","25.5066148981077","1.8709209231858","0.405083791538308","0.180023571007661","0.260357142857143","0.0108359133126935"
"50","db.3a.p.1","3","0.417955364362657","0.0714285714285714","18.1861655592978","1.15333591198565","0.620308999703123","0.10515247108307","0.269675925925926","0.0597402597402598"
"51","db.3b.p.1","3","0.417955364362657","0.0714285714285714","18.1861655592978","1.15333591198565","0.560988189737308","0.203273696231443","0.411111111111111","0.00999000999001002"
"52","db.5.p.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","db.2.p.2","2","0.411455241368404","0","20.3768654488309","1.79495222802467","0.398587161440883","0.23745641510549","0.225426136363636","0.0180598555211559"
"54","db.3a.p.2","3","0.294058018568984","0.0526315789473684","11.8796709216001","1.04928704223524","0.533179160870675","0.235211760588029","0.232634032634033","0.0304928989139513"
"55","db.3b.p.2","3","0.294058018568984","0.0526315789473684","11.8796709216001","1.04928704223524","0.583150017585288","0.209293539856441","0.214646464646465","0.0542050828428533"
"56","db.5.p.2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","db.2.p.3","2","0.347540454804674","0","4.92782512062003","1.53006127875727","0.636569506592852","-0.141718674987998",NA,NA
"58","db.3a.p.3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","db.3b.p.3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","db.5.p.3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","db.2.p.4","2","0.597559361801559","0","19.8719516790576","2.35678867841967","0.496280036816166","0.274266679004349","0.266666666666667","0.142857142857143"
"62","db.3a.p.4","3","0.486565821183736","0","18.7804181778505","1.58165339312267","0.645427041037361","0.00702000702000702","0.277777777777778","0.0762237762237764"
"63","db.3b.p.4","3","0.486565821183736","0","18.7804181778505","1.58165339312267","0.656985132595654","0.00306866129650941","0.277777777777778","0.0762237762237764"
"64","db.5.p.4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","db.2.p.5","2","0.328970003726786","0","5.76758307851643","1.47881751877001","0.60065272601548","-0.126842732576375",NA,NA
"66","db.3a.p.5","3","0.295933347670443","0.0769230769230769","9.27825317888277","1.27841578640327","0.530508109483318","0.13800350262697","0.62962962962963","0.00209790209790209"
"67","db.3b.p.5","3","0.295933347670443","0.0769230769230769","9.27825317888277","1.27841578640327","0.54240014398082","0.153962836556693","0.62962962962963","0.00209790209790209"
"68","db.5.p.5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","db.2.p.6","2","0.562493366314161","0","40.5979797585543","2.27151083204036","0.395485413060901","0.15781965166736","0.213333333333333","0.0325077399380805"
"70","db.3a.p.6","3","0.510509290531396","0","29.8322069322981","1.40612933577338","0.575668788244678","0.070298769771529","0.3","0.0313852813852815"
"71","db.3b.p.6","3","0.510509290531396","0","29.8322069322981","1.40612933577338","0.62166241166758","0.0842674913026672","0.306712962962963","0.022935397935398"
"72","db.5.p.6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","db.2.c.1","2","0.357527887326949","0","8.0337114127817","1.5423696078454","0.405706145139337","0.118939190999196","0.0763888888888889","0.208791208791209"
"74","db.3a.c.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","db.3b.c.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","db.5.c.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","db.2.c.2","2","0.394916337119215","0.125","9.92772327431332","1.71771228938277","0.497392669957926","-0.0743261556994429","0.0228438228438228","0.508928571428571"
"78","db.3a.c.2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","db.3b.c.2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","db.5.c.2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","db.2.c.3","2","0.309561704800945","0","4.37508035099388","1.35156831186755","0.636569506592852","-0.141718674987998",NA,NA
"82","db.3a.c.3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","db.3b.c.3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","db.5.c.3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","db.2.c.4","2","0.414010487831007","0","11.1499808946357","1.82233931954052","0.588952951556762","0.0245519879090712","0.2","0.107142857142857"
"86","db.3a.c.4","3","0.273181885119374","0.0909090909090909","7.31796641036302","1.24101842874531","0.706575916929671","-0.0356020942408377",NA,NA
"87","db.3b.c.4","3","0.273181885119374","0.0909090909090909","7.31796641036302","1.24101842874531","0.791053709207153","-0.00148864905098627","0.233333333333333","0.396103896103895"
"88","db.5.c.4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","db.2.c.5","2","0.367064973095708","0","7.76549476482363","1.58801469991607","0.594631093067499","0.0772496263079222","0.0301339285714286","0.490909090909091"
"90","db.3a.c.5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","db.3b.c.5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","db.5.c.5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","db.2.c.6","2","0.452136731203434","0","6.88743209428466","1.78248609000848","0.753339114717981","0.031496062992126","0.0625","0.4"
"94","db.3a.c.6","3","0.317117481314893","0","4.74826462705233","1.29772141258797","0.859175209558743","0.0607042253521127","0.277777777777778","0.828571428571428"
"95","db.3b.c.6","3","0.317117481314893","0","4.74826462705233","1.29772141258797","0.806167986158357","0.0826446280991735","0.513888888888889","0.314285714285714"
"96","db.5.c.6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","db.2.m.1","2","0.366788938787506","0","22.6772844626875","1.72402783070055","0.334212809305157","0.202936456042323","0.297619047619048","0.0108359133126935"
"98","db.3a.m.1","3","0.49083042917104","0","22.6438850141661","1.52450501982427","0.631777062223302","0.159415245388096","0.38125","0.104761904761904"
"99","db.3b.m.1","3","0.49083042917104","0","22.6438850141661","1.52450501982427","0.742126076597406","0.0469380271360469","0.347916666666667","0.171428571428571"
"100","db.5.m.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","db.2.m.2","2","0.422749271238294","0","24.7815266682719","1.8625122320324","0.376772581520164","0.0879380651261746","0.215945512820513","0.0180598555211558"
"102","db.3a.m.2","3","0.467197694785085","0","21.0440216936597","1.38300973744179","0.662878884981887","0.0426722630290311","0.232142857142857","0.336363636363636"
"103","db.3b.m.2","3","0.467197694785085","0","21.0440216936597","1.38300973744179","0.726714692410229","-0.064734663153933","0.25","0.254545454545454"
"104","db.5.m.2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","db.2.m.3","2","0.62081790434145","0","18.0596532956512","2.65800086696197","0.636569506592852","-0.141718674987998",NA,NA
"106","db.3a.m.3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","db.3b.m.3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","db.5.m.3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","db.2.m.4","2","0.434710904650178","0","27.549680237137","1.91183845145285","0.405083791538308","0.180023571007661","0.260357142857143","0.0108359133126935"
"110","db.3a.m.4","3","0.388812364647779","0","18.3640114391573","1.26007464622133","0.567473783524414","0.0547945205479452","0.255555555555556","0.0638772991714168"
"111","db.3b.m.4","3","0.388812364647779","0","18.3640114391573","1.26007464622133","0.58036434981285","0.0700808625336927","0.311111111111111","0.017247458423929"
"112","db.5.m.4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","db.2.m.5","2","0.355644483917219","0","17.1221557497383","1.49906675534667","0.37229586520224","0.239426139238623","0.272727272727273","0.00812693498452014"
"114","db.3a.m.5","3","0.325336939392688","0.0526315789473684","12.2116759109793","1.22389755864458","0.527183226446123","0.103896103896104","0.256410256410256","0.0255417956656345"
"115","db.3b.m.5","3","0.325336939392688","0.0526315789473684","12.2116759109793","1.22389755864458","0.581384095083798","0.0912926735711546","0.265993265993266","0.0256608716361037"
"116","db.5.m.5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","db.2.m.6","2","0.5133384247943","0","60.2345151150337","2.50310998314869","0.280380948567796","0.305029910877793","0.235392156862745","0.00956937799043063"
"118","db.3a.m.6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","db.3b.m.6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","db.5.m.6",NA,NA,NA,NA,NA,NA,NA,NA,NA
