"","Clustering","K","Avg. Sil.","Neg.Sil.","CH","Dunn*","VI","ARI","Chi","P-value"
"1","km.2.e","2","0.272772792226174","0.0144927536231884","62.1865219386266","1.3951996913992","0.180217213855745","0.238519238033565","0.29656862745098","4.05682394191758e-12"
"2","km.3a.e","3","0.214427832157318","0.036231884057971","51.0523275073299","1.20394430865105","0.28700576689219","0.214406990033367","0.223656039740929","2.69083207864028e-14"
"3","km.3b.e","3","0.214427832157318","0.036231884057971","51.0523275073299","1.20394430865105","0.311316801235783","0.164014377810126","0.223513995907884","8.55583753744965e-14"
"4","km.5.e","5","0.235733121351572","0.0072463768115942","41.8792158844033","1.2437682751881","0.393902198431548","0.212223508778288","0.236942041139388","0.000499750124937531"
"5","km.6.e","6","0.222770879023882","0.0434782608695652","39.0336566564208","1.15642223450992","0.577306477360692","0.0655075436224926","0.133013886274756","0.000499750124937531"
"6","km.2.r","2","0.251723415783598","0.036231884057971","52.9975759293519","1.28482021163341","0.183202915715906","0.369174720437181","0.294424019607843","1.43960462889165e-10"
"7","km.3a.r","3","0.192805471237957","0.123188405797101","43.406056959497","1.04539863870049","0.28336458202196","0.224595180085519","0.228037893860235","8.65327062238431e-15"
"8","km.3b.r","3","0.192805471237957","0.123188405797101","43.406056959497","1.04539863870049","0.312310394236612","0.157899534769204","0.221613849518442","1.47261198025033e-13"
"9","km.5.r","5","0.202004582947023","0.0942028985507246","36.0103374700728","0.629149405871165","0.445194772620567","0.103432849054184","0.147485285255313","0.000499750124937531"
"10","km.6.r","6","0.193598921294365","0.108695652173913","34.3337254818082","0.53787834006647","0.600482044066683","0.0223457090777598","0.0759488066740591","0.00299850074962519"
"11","km.2.p","2","0.35745763188704","0","84.9630929149048","1.52379254667899","0.155257461888299","0.331801108088731","0.375838860307031","1.29643122096578e-15"
"12","km.3a.p","3","0.364936546523701","0.0217391304347826","59.1299565084443","1.11643324885234","0.247758416493493","0.339988529039104","0.217974923399452","6.72229319478285e-16"
"13","km.3b.p","3","0.364936546523701","0.0217391304347826","59.1299565084443","1.11643324885234","0.268154622951067","0.348891486982135","0.245501656060437","4.15674383446664e-17"
"14","km.5.p","5","0.24213411728865","0.0289855072463768","50.3098008080772","0.683012097368707","0.386146301321096","0.203792516731451","0.229633655394525","0.000499750124937531"
"15","km.6.p","6","0.232086831789103","0.0289855072463768","47.9045436303839","0.655492395419782","0.614225342497868","0.0393783903421577","0.0914218262555859","0.000999500249875062"
"16","km.2.c","2","0.235709825673477","0.0522388059701493","39.9087724564235","1.22986340514922","0.161263566397987","0.300803596325934","0.358044796201309","9.7070608568628e-15"
"17","km.3a.c","3","0.25545615297394","0.17910447761194","41.5472073346973","0.721776974203588","0.259539743160683","0.151759548733993","0.185853971609786","2.0341813791939e-12"
"18","km.3b.c","3","0.25545615297394","0.17910447761194","41.5472073346973","0.721776974203588","0.287386589473986","0.130278507179899","0.185219228969229","4.12453441722221e-12"
"19","km.5.c","5","0.256807093606349","0.164179104477612","34.6965907962687","0.760277375891852","0.414933003967678","0.0909621351396807","0.122225330349531","0.000499750124937531"
"20","km.6.c","6","0.234674809034823","0.0970149253731343","33.2348173833041","0.688469624776692","0.593054389333843","3.33468842525534e-05","0.053897338855808","0.20039980009995"
"21","km.2.m","2","0.367072983534447","0.0144927536231884","82.8758297380376","1.38801832032561","0.204764395967296","0.234913692219149","0.221487962273517","1.01956229033041e-08"
"22","km.3a.m","3","0.39450836813205","0.0434782608695652","68.9932346535419","0.887423948202663","0.243373235957585","0.319126040229928","0.217301587301587","1.52073495513772e-15"
"23","km.3b.m","3","0.39450836813205","0.0434782608695652","68.9932346535419","0.887423948202663","0.263988602861335","0.309872359906311","0.230952380952381","2.57272297736285e-16"
"24","km.5.m","5","0.331744870085104","0.036231884057971","53.2906468331867","0.620416842118033","0.366746517951105","0.175909839798543","0.234632678829107","0.000499750124937531"
"25","km.6.m","6","0.256834745898235","0.0579710144927536","50.8165972788582","0.544981971265164","0.57695292329341","0.0361169382261942","0.11257858083945","0.000499750124937531"
