"","Shape","Layer","Animal","ID","Image","Area","ConvexArea","MajorAxisLength","MinorAxisLength","Perimeter","ConvexPerimeter","EquivDiameter","Eccentricity","Solidity","Extent","InvAR","ConvexCircularity","Ngb_50","Ngb_100","N"
"2","Ellipsoid","1","Giraffa camelopardalis","71283","1",40.3,40.3,9.39,5.61,0.99,24.04,7.16320833515451,0.811818181818182,0.987878787878788,0.691515151515152,0.573346062485496,0.898391304037772,31,112,33
"3","Ellipsoid","2","Giraffa camelopardalis","71283","1",43.87,43.87,9.78,5.76,2.46,24.97,7.47375533634408,0.786,0.992571428571429,0.719428571428571,0.610135762438301,0.915082634941138,29,119,35
"4","Ellipsoid","3","Giraffa camelopardalis","71283","1",34.85,34.93,8.4,5.4,7.45,22.23,6.66126100179391,0.785263157894737,0.996842105263158,0.732631578947368,0.610377302180809,0.915966738407628,27,102,19
"5","Ellipsoid","4","Giraffa camelopardalis","71283","1",52.51,52.51,9.92,6.11,1.51,26.92,8.17666242999204,0.796744186046512,0.991395348837209,0.715116279069767,0.588867012047743,0.912468718531761,23,93,43
"6","Ellipsoid","5","Giraffa camelopardalis","71283","1",50.635,50.655,9.99,5.495,4.72,26.885,8.02841672764274,0.805357142857143,0.997142857142857,0.846071428571429,0.577651354115919,0.890867927393754,32.5,115,28
"7","Ellipsoid","6","Giraffa camelopardalis","71283","1",36.345,36.38,8.44,5.215,8.58,22.905,6.80259991090584,0.7964,0.9912,0.6642,0.593913810588502,0.89840895896093,24,114,50
"8","Round","1","Giraffa camelopardalis","71283","1",61.965,61.965,9.265,8.26,26.63,29.175,8.8821214183769,0.451428571428571,1,0.765714285714286,0.879513115307693,0.937212015972338,28,112.5,14
"9","Round","2","Giraffa camelopardalis","71283","1",39.01,41.49,7.94,6.75,24.21,23.94,7.0476290084055,0.553636363636364,0.969090909090909,0.854545454545454,0.831069084601446,0.900997962450523,32,131,11
"10","Round","3","Giraffa camelopardalis","71283","1",49.6,50.78,8.75,7.47,11.05,26.74,7.94686613822481,0.4944,0.9856,0.828,0.854755124954377,0.913878879057429,25,103,25
"11","Round","4","Giraffa camelopardalis","71283","1",38.18,38.18,7.88,6.25,3.74,22.33,6.97225112987108,0.578888888888889,0.981111111111111,0.69,0.810585946096352,0.925051884194427,20,82,9
"12","Round","5","Giraffa camelopardalis","71283","1",48.56,48.56,7.97,7.435,6.525,25.225,7.86286370221879,0.439444444444444,1,0.715,0.878868445633515,0.916556825593881,35,120.5,18
"13","Round","6","Giraffa camelopardalis","71283","1",61.725,63.37,9.535,7.805,127.405,29.225,8.62033795984259,0.56,0.98,0.53,0.826637983746085,0.879172127592714,26,115.5,2
"14","Pyramidal","1","Giraffa camelopardalis","71283","1",41.82,42.24,10.46,5.23,67.02,25.97,7.29704582422397,0.843492063492064,0.990793650793651,0.726031746031746,0.519903163343648,0.785040884900414,28,110,63
"15","Pyramidal","2","Giraffa camelopardalis","71283","1",34.45,34.45,8.865,5.345,98.78,23.41,6.62290679539131,0.81758064516129,0.991774193548387,0.712258064516129,0.562344325623701,0.793060032019621,29.5,119.5,62
