"","V1","V2"
"1",NA,NA
"2",2.49,3
"3",1.93,3
"4",1.93,3
"5",NA,NA
"6",1.695,3
"7",NA,NA
"8",NA,NA
"9",NA,NA
"10",2.215,3
"11",NA,NA
"12",NA,NA
"13",NA,NA
"14",1.75,3
"15",NA,NA
"16",NA,NA
"17",NA,NA
"18",2.46,3
"19",2.45,3
"20",2.45,3
"21",NA,NA
"22",2.12,3
"23",NA,NA
"24",NA,NA
"25",NA,NA
"26",1.565,3
"27",NA,NA
"28",NA,NA
"29",NA,NA
"30",1.595,3
"31",NA,NA
"32",NA,NA
"33",NA,NA
"34",2.665,3
"35",NA,NA
"36",NA,NA
"37",NA,NA
"38",NA,NA
"39",NA,NA
"40",NA,NA
"41",NA,NA
"42",2.01,3
"43",2.025,3
"44",2.025,3
"45",NA,NA
"46",0.975,3
"47",NA,NA
"48",NA,NA
"49",NA,NA
"50",2.09,3
"51",1.785,3
"52",1.785,3
"53",NA,NA
"54",2.365,3
"55",2.385,4
"56",2.385,4
"57",NA,NA
"58",1.22,3
"59",NA,NA
"60",NA,NA
"61",NA,NA
"62",1.3,3
"63",1.89,3
"64",1.89,3
"65",NA,NA
"66",1.53,3
"67",1.915,3
"68",1.915,3
"69",NA,NA
"70",1.865,3
"71",1.62,3
"72",1.62,3
"73",NA,NA
"74",1.99,3
"75",NA,NA
"76",NA,NA
"77",NA,NA
"78",2.33,3
"79",NA,NA
"80",NA,NA
"81",NA,NA
"82",1.175,3
"83",NA,NA
"84",NA,NA
"85",NA,NA
"86",1.875,3
"87",1.95,3
"88",1.95,3
"89",NA,NA
"90",2.16,3
"91",NA,NA
"92",NA,NA
"93",NA,NA
"94",0.82,2
"95",0.895,2
"96",0.895,2
"97",NA,NA
"98",2.54,3
"99",1.665,3
"100",1.665,3
"101",NA,NA
"102",2.43,3
"103",1.85,3
"104",1.85,3
"105",NA,NA
"106",1.08,3
"107",NA,NA
"108",NA,NA
"109",NA,NA
"110",2.5,3
"111",2.2,3
"112",2.2,3
"113",NA,NA
"114",2.435,3
"115",2.325,3
"116",2.325,3
"117",NA,NA
"118",2.92457255399781,3
"119",NA,NA
"120",NA,NA
"121",NA,NA
