"","V1","V2"
"1",NA,NA
"2","manhattan","complete"
"3","manhattan","complete"
"4","manhattan","complete"
"5","manhattan","complete"
"6","manhattan","complete"
"7","manhattan","ward.D"
"8","manhattan","ward.D"
"9","euclidean","ward.D"
"10","manhattan","complete"
"11","manhattan","complete"
"12","manhattan","complete"
"13","manhattan","complete"
"14","manhattan","complete"
"15","manhattan","average"
"16","euclidean","ward.D2"
"17","manhattan","complete"
"18","manhattan","complete"
"19","manhattan","complete"
"20","manhattan","complete"
"21","manhattan","complete"
"22","manhattan","ward.D2"
"23","manhattan","complete"
"24","manhattan","complete"
"25","manhattan","complete"
"26","manhattan","complete"
"27","manhattan","average"
"28","manhattan","average"
"29","manhattan","ward.D"
"30","manhattan","complete"
"31","manhattan","complete"
"32","manhattan","complete"
"33","manhattan","ward.D"
"34","manhattan","complete"
"35","manhattan","single"
"36","manhattan","single"
"37","manhattan","complete"
"38","manhattan","average"
"39","manhattan","ward.D"
"40","manhattan","average"
"41","manhattan","complete"
"42","manhattan","complete"
"43","manhattan","complete"
"44","manhattan","complete"
"45","manhattan","complete"
"46","manhattan","ward.D"
"47","manhattan","ward.D"
"48","manhattan","ward.D"
"49","manhattan","complete"
"50","manhattan","complete"
"51","manhattan","complete"
"52","manhattan","complete"
"53","manhattan","average"
"54","manhattan","complete"
"55","manhattan","complete"
"56","manhattan","complete"
"57","manhattan","average"
"58","manhattan","average"
"59","manhattan","average"
"60","manhattan","ward.D2"
"61","manhattan","complete"
"62","manhattan","complete"
"63","manhattan","complete"
"64","manhattan","complete"
"65","manhattan","single"
"66","manhattan","average"
"67","manhattan","average"
"68","manhattan","complete"
"69","manhattan","average"
"70","manhattan","complete"
"71","manhattan","single"
"72","manhattan","single"
"73","manhattan","complete"
"74","manhattan","complete"
"75","manhattan","complete"
"76","manhattan","complete"
"77","manhattan","complete"
"78","manhattan","ward.D"
"79","manhattan","average"
"80","manhattan","average"
"81","manhattan","complete"
"82","manhattan","complete"
"83","manhattan","complete"
"84","manhattan","complete"
"85","manhattan","complete"
"86","manhattan","complete"
"87","manhattan","complete"
"88","manhattan","complete"
"89","manhattan","ward.D"
"90","manhattan","ward.D2"
"91","manhattan","ward.D2"
"92","manhattan","ward.D2"
"93","manhattan","average"
"94","manhattan","ward.D"
"95","manhattan","ward.D"
"96","manhattan","ward.D"
"97","manhattan","average"
"98","manhattan","single"
"99","manhattan","average"
"100","manhattan","average"
"101","manhattan","ward.D"
"102","manhattan","complete"
"103","manhattan","average"
"104","manhattan","ward.D"
"105","manhattan","complete"
"106","manhattan","complete"
"107","manhattan","complete"
"108","manhattan","complete"
"109","manhattan","ward.D"
"110","manhattan","single"
"111","manhattan","ward.D2"
"112","manhattan","ward.D2"
"113","manhattan","ward.D"
"114","manhattan","average"
"115","manhattan","average"
"116","manhattan","average"
"117","manhattan","ward.D"
"118","manhattan","single"
"119","manhattan","single"
"120","manhattan","single"
"121","manhattan","complete"
